,sent,noun,adj,verb,others,label
142," Guarantor, jointly and severally, will also indemnify the Underwriters, if any, selling brokers, dealers and similar securities industry professionals participating in the distribution, their respective affiliates and each Person who controls such Persons (within the meaning of the Securities Act and the Exchange Act) to the same extent as provided above with respect to the indemnification of the Holders, if requested in connection with any Registration Statement, any Prospectus, any Free Writing Prospectus or any Issuer Information.",29,4,7,50,0
143,Free Writing Prospectus” means each free writing prospectus (as defined in Rule 405 under the Securities Act) prepared by or on behalf of the Company or used or referred to by the Company in connection with the sale of the Securities or the Exchange Securities.,15,2,5,27,0
144,“Company” shall have the meaning set forth in the preamble and shall also include the Company’s successors. ,7,0,5,9,0
145,"In the event that (i) the Company and any Guarantor determine that the Exchange Offer Registration provided for in Section 2(a) above is not available or may not be completed as soon as reasonably practicable after the last Exchange Date because it would violate any applicable law or applicable interpretations of the Staff, (ii) the Exchange Offer is not for any other reason completed on or before the 270th day after the Issue Date (or if such 270th day is not a Business Day, the next succeeding Business Day) or (iii) upon receipt of a written request (a “Shelf Request”) from any Initial Purchaser representing that it holds Registrable Securities that are or were ineligible to be exchanged in the Exchange Offer, the Company and any Guarantor shall use their commercially reasonable efforts to cause to be filed as soon as practicable after such determination, date or Shelf Request, as the case may be, a Shelf Registration Statement providing for the sale of all the Registrable Securities by the Holders thereof and to have such Shelf Registration Statement become effective.",52,16,28,108,0
146,"Notwithstanding the foregoing sentence, if at any time an Indemnified Person shall have requested that an Indemnifying Person reimburse the Indemnified Person for fees and expenses of counsel as contemplated by this paragraph, the Indemnifying Person shall be liable for any settlement of any proceeding effected without its written consent if (i) such settlement is entered into more than 30 days after receipt by the Indemnifying Person of such request and (ii) the Indemnifying Person shall not have reimbursed the Indemnified Person in accordance with such request prior to the date of such settlement.",33,6,14,50,0
147,Counterpart to Registration Rights Agreement  ,4,0,0,2,0
148,"As a condition to participating in the Exchange Offer, a Holder will be required to represent to the Company and any Guarantor that (i) any Exchange Securities to be received by it will be acquired in the ordinary course of its business, (ii) at the time of the commencement of the Exchange Offer it has no arrangement or understanding with any Person to participate in the distribution (within the meaning of the Securities Act) of the Exchange Securities in violation of the provisions of the Securities Act, (iii) it is not an “affiliate” (within the meaning of Rule 405 promulgated under the Securities Act) of the Company or any Guarantor (iv) if such holder is not a broker-dealer, that it is not engaged in, and does not intend to engage in, the distribution of Exchange Securities and (v) if such Holder is a broker-dealer that will receive Exchange Securities for its own account in exchange for Registrable Securities that were acquired as a result of market-making or other trading activities, then such Holder will deliver a Prospectus (or, to the extent permitted by law, make available a Prospectus to purchasers) in connection with any resale of such Exchange Securities.",64,8,30,136,0
149,J.P. Morgan Securities Inc.  ,4,0,0,1,0
150,Amendments and Waivers. ,2,0,0,2,1
151,Managing Director    ,1,0,1,1,0
152,Staff” shall mean the staff of the SEC.,3,0,2,5,0
153,Persons of such Holder shall be designated in writing by the Majority Holders and (z) in all other cases shall be designated in writing by the Company.,8,2,6,15,0
154,"The Indemnifying Person shall not be liable for any settlement of any proceeding effected without its written consent, but if settled with such consent or if there be a final judgment for the plaintiff, the Indemnifying Person agrees to indemnify each Indemnified Person from and against any loss or liability by reason of such settlement or judgment.",17,4,8,31,0
155,JPMorgan” shall have the meaning set forth in the preamble.,3,0,3,6,0
156,Title:    Thomas Seifert Senior Vice President and Chief Financial Officer  Confirmed and accepted as of the date first above written:          J.P. MORGAN SECURITIES INC.    ,15,0,2,14,0
157,"In the case of a Shelf Registration Statement, each Holder of Registrable Securities covered in such Shelf Registration Statement",10,1,1,8,0
158,(the “Exchange Dates”);,3,0,0,5,0
159,"The relative fault of the Company and any Guarantor on the one hand and the Holders on the other shall be determined by reference to, among other things, whether the untrue or alleged untrue statement of a material fact or the omission or alleged omission to state a material fact relates to information supplied by the Company and any Guarantor or by the Holders and the parties’ relative intent, knowledge, access to information and opportunity to correct or prevent such statement or omission.",24,9,10,46,0
160,"In connection with their obligations pursuant to Section 2(a) and Section 2(b) hereof, the Company and any Guarantor shall as expeditiously as possible:",7,2,1,19,0
161,Counterpart to Registration Rights Agreement ,4,0,0,1,1
162,"Persons of such Initial Purchaser shall be designated in writing by JPMorgan, (y) for any Holder, its directors and officers and any control",9,1,3,15,0
163, Registrable Securities by the Holders thereof and (z) shall comply as to form in all material respects with the requirements of the applicable form and include all financial statements required by the SEC to be filed therewith; and use their commercially reasonable efforts to cause such Registration Statement to become effective and remain effective for the applicable period in accordance with Section 2 hereof;,16,7,12,36,0
164,Rajesh Kapadia     ,2,0,0,1,0
165,"Exchange Act” shall mean the Securities Exchange Act of 1934, as amended from time to time. ",7,0,3,9,0
166,(e) The Holders of Registrable Securities covered by a Shelf Registration Statement who desire to do so may sell such Registrable Securities in an Underwritten Offering.,10,1,5,13,0
167,"(i) prepare and file with the SEC a Registration Statement on the appropriate form under the Securities Act, which form (x) shall be selected by the Company and any Guarantor (y) ",10,1,5,24,0
168,in any event within 30 days of the Company’s receipt of such notification;  ,6,1,0,9,0
169,Subsidiary Guarantees” shall mean the guarantees of the Securities and Exchange Securities by any Guarantor under and in accordance with the terms of the Indenture.,10,0,2,15,0
170,Initial Purchasers” shall have the meaning set forth in the preamble.,4,0,3,6,0
171,"The Company and any Guarantor shall use their commercially reasonable efforts to complete the Exchange Offer as provided above and shall comply with the applicable requirements of the Securities Act, the Exchange Act and other applicable laws and regulations in connection with the Exchange Offer.",15,4,6,22,0
172,"Registration Statement” shall mean any registration statement of the Company and any Guarantor that covers any of the Exchange Securities or Registrable Securities pursuant to the provisions of this Agreement and all amendments and supplements to any such registration statement, including post-effective amendments, in each case including the Prospectus contained therein or deemed a part thereof, all exhibits thereto and any document incorporated by reference therein.",23,6,8,36,0
173,Successors and Assigns. ,2,0,0,2,1
174,Citadel Securities LLC,3,0,0,0,0
175,The execution and delivery of this Agreement is a condition to the closing under the Purchase Agreement.,7,0,1,10,0
176,Indemnification and Contribution,2,0,0,1,1
177,"shall, in the case of a Shelf Registration, be available for the sale of the ",4,1,2,10,0
178,Underwritten Offering” shall mean an offering in which Registrable Securities are sold to an Underwriter for reoffering to the public.,7,0,5,10,0
179,J.P. Morgan Securities Inc.,4,0,0,0,0
180,“Shelf Registration” shall mean a registration effected pursuant to Section 2(b) hereof.,6,1,3,7,0
181,6. General.,1,0,0,3,0
182," reference or file any other required document so that, as thereafter delivered (or, to the extent permitted by law, made available) to purchasers of the Registrable Securities, such Prospectus will not contain any untrue statement of a material fact or omit to state a material fact necessary to make the statements therein, in the light of the circumstances under which they were made, not misleading; and the Company and any Guarantor shall notify the Holders of Registrable Securities to suspend use of the Prospectus as promptly as practicable after the occurrence of such an event, and such Holders hereby agree to suspend use of the Prospectus until the Company and any Guarantor have amended or supplemented the Prospectus to correct such misstatement or omission;",32,11,20,73,0
183,(f) The remedies provided for in this Section 5 are not exclusive and shall not limit any rights or remedies that may otherwise be available to any Indemnified Person at law or in equity.,8,2,6,22,0
184,An Exchange Offer Registration Statement pursuant to Section 2(a) hereof will not be deemed to have become effective unless it has been declared effective by the SEC.,7,3,8,12,0
185,"The undersigned hereby absolutely, unconditionally and irrevocably agrees as a Guarantor (as defined in the Registration Rights Agreement, dated as of November 30, 2009 by and among the Company, a Delaware corporation, and J.P. Morgan Securities Inc., on behalf of itself and the other Initial Purchasers) to be bound by the terms and provisions of such Registration Rights Agreement.  ",20,3,5,42,0
186,"Each Holder shall pay all underwriting discounts and commissions, brokerage commissions and transfer taxes, if any, relating to the sale or disposition of such Holder’s Registrable Securities pursuant to the Shelf Registration Statement.",16,2,4,16,0
187,Confirmed and accepted as of the date first above written:,2,0,2,7,0
188,"In consideration of the foregoing, the parties hereto agree as follows:",3,0,3,7,0
189,Exchange Securities” shall mean senior notes issued by the Company and guaranteed by any Guarantor under the Indenture containing terms identical to the Securities (except that the Exchange Securities will not be subject to restrictions on transfer or to any increase in annual interest rate for failure to comply with this Agreement) and to be offered to Holders of Securities in exchange for Securities pursuant to the Exchange Offer. ,23,5,10,35,0
190,"In connection with any Underwritten Offering permitted by Section 3, the Company and any ",5,0,1,10,0
191,"This REGISTRATION RIGHTS AGREEMENT dated November 30, 2009 (the “Agreement”) is entered into by and among Advanced Micro Devices, Inc., a Delaware corporation (the “Company”) and",14,0,3,21,0
192,"IN WITNESS WHEREOF, the parties have executed this Agreement as of the date first written above.",5,0,3,10,0
193,"The amount paid or payable by an Indemnified Person as a result of the losses, claims, damages and liabilities referred to in paragraph (d) above shall be deemed to include, subject to the limitations set forth above, any legal or other expenses reasonably incurred by such Indemnified Person in connection with any such action or claim.",17,6,8,33,0
194,Participation of Broker-Dealers in Exchange Offer.,5,0,0,4,0
195,"In the event that either the Exchange Offer is not completed or the Shelf Registration Statement, if required pursuant to Section 2(b)(i) or 2(b)(ii)",9,0,3,16,0
196,Annex A,2,0,0,0,0
197,"In light of the above, and notwithstanding the other provisions of this Agreement, the Company and any Guarantor agree to amend or supplement the Prospectus contained in the Exchange Offer Registration Statement for a period of up to 180 days after the last Exchange Date (as such period may be extended pursuant to Section 3(d) of this Agreement), in order to expedite or facilitate the disposition of any Exchange Securities by Participating Broker-Dealers consistent with the positions of the Staff recited in Section 4(a) above.",26,6,11,54,0
198,"Any such separate firm (x) for any Initial Purchaser, its affiliates, directors and officers and any control",7,2,0,13,0
199,“Shelf Effectiveness Period” shall have the meaning set forth in Section 2(b) hereof.,7,0,3,8,0
200,Counterpart to Registration Rights Agreement  ,4,0,0,2,0
201,"Exchange Offer Registration Statement” shall mean an exchange offer registration statement on Form S-4 (or, if applicable, on another appropriate form) and all amendments and supplements to such registration statement, in each case including the Prospectus contained therein or deemed a part thereof, all exhibits thereto and any document incorporated by reference therein.",21,4,6,30,0
202,"(v) notify counsel for the Initial Purchasers and, in the case of a Shelf Registration, notify each Holder of Registrable Securities and counsel for such Holders promptly and, if requested by any such Holder or counsel, confirm such advice in writing (1) when a Registration Statement has become effective, when any post-effective amendment thereto has been filed and becomes effective and when any amendment or ",20,8,10,39,0
203,"The Company and any Guarantor further agree that Participating Broker-Dealers shall be authorized to deliver such Prospectus (or, to the extent permitted by law, make available) during such period in connection with the resales contemplated by this Section 4.",12,3,8,24,0
204,1. Definitions.,1,0,0,3,0
205,"  IN WITNESS WHEREOF, the parties have executed this Agreement as of the date first written above.          ",5,0,3,12,0
206,/s/ Thomas Seifert,3,0,0,0,0
